time_iso8601,forks_cumulative
2019-08-21 00:00:00+00:00,1
2019-12-03 00:00:00+00:00,2
2020-03-03 00:00:00+00:00,3
2020-05-06 00:00:00+00:00,4
2020-05-14 00:00:00+00:00,5
2020-07-10 00:00:00+00:00,6
2020-09-03 00:00:00+00:00,7
2020-09-24 00:00:00+00:00,8
2020-10-23 00:00:00+00:00,9
2021-05-13 00:00:00+00:00,10
2021-06-25 00:00:00+00:00,11
2021-08-04 00:00:00+00:00,12
2021-09-17 00:00:00+00:00,13
2021-10-12 00:00:00+00:00,14
2022-02-17 00:00:00+00:00,15
2022-02-21 00:00:00+00:00,16
2022-02-23 00:00:00+00:00,17
2022-03-14 00:00:00+00:00,18
2022-03-28 00:00:00+00:00,19
2022-05-03 00:00:00+00:00,20
2022-05-06 00:00:00+00:00,21
2022-05-31 00:00:00+00:00,22
2022-07-19 00:00:00+00:00,23
2022-07-20 00:00:00+00:00,24
2022-08-31 00:00:00+00:00,25
2022-11-02 00:00:00+00:00,26
2023-01-15 00:00:00+00:00,27
2023-01-25 00:00:00+00:00,28
2023-01-30 00:00:00+00:00,29
2023-03-05 00:00:00+00:00,30
2023-04-11 00:00:00+00:00,31
2023-06-21 00:00:00+00:00,32
2023-06-27 00:00:00+00:00,33
2023-08-12 00:00:00+00:00,34
2023-08-21 00:00:00+00:00,35
2024-01-22 00:00:00+00:00,36
2024-02-22 00:00:00+00:00,37
2024-02-28 00:00:00+00:00,38
2024-04-17 00:00:00+00:00,39
2024-04-29 00:00:00+00:00,40
2024-06-12 00:00:00+00:00,41
2024-08-07 00:00:00+00:00,43
2025-02-10 00:00:00+00:00,44
