time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-07 00:00:00+00:00,1.0,1.0,31,12
2025-02-08 00:00:00+00:00,1.0,1.0,4,4
2025-02-09 00:00:00+00:00,,,13,5
2025-02-10 00:00:00+00:00,2.0,2.0,136,22
2025-02-11 00:00:00+00:00,2.0,2.0,96,17
2025-02-12 00:00:00+00:00,4.0,3.0,71,15
2025-02-13 00:00:00+00:00,5.0,5.0,80,30
2025-02-14 00:00:00+00:00,1.0,1.0,54,22
2025-02-15 00:00:00+00:00,1.0,1.0,3,2
2025-02-16 00:00:00+00:00,1.0,1.0,39,5
2025-02-17 00:00:00+00:00,3.0,3.0,95,14
2025-02-18 00:00:00+00:00,3.0,3.0,47,22
2025-02-19 00:00:00+00:00,1.0,1.0,85,16
2025-02-20 00:00:00+00:00,,,34,10
