time_iso8601,stars_cumulative
2019-11-20 00:00:00+00:00,1
2019-11-26 00:00:00+00:00,2
2020-03-11 00:00:00+00:00,3
2020-05-12 00:00:00+00:00,4
2020-05-22 00:00:00+00:00,5
2020-06-09 00:00:00+00:00,6
2020-07-29 00:00:00+00:00,7
2020-08-07 00:00:00+00:00,8
2020-08-31 00:00:00+00:00,9
2020-10-02 00:00:00+00:00,10
2020-11-22 00:00:00+00:00,11
2020-12-05 00:00:00+00:00,12
2021-01-22 00:00:00+00:00,13
2021-02-17 00:00:00+00:00,14
2021-05-27 00:00:00+00:00,15
2021-08-09 00:00:00+00:00,16
2021-08-27 00:00:00+00:00,17
2021-09-05 00:00:00+00:00,18
2022-01-10 00:00:00+00:00,19
2022-01-18 00:00:00+00:00,20
2022-01-27 00:00:00+00:00,21
2022-02-14 00:00:00+00:00,22
2022-03-10 00:00:00+00:00,23
2022-04-12 00:00:00+00:00,24
2022-04-25 00:00:00+00:00,25
2022-05-19 00:00:00+00:00,26
2022-06-08 00:00:00+00:00,27
2022-07-22 00:00:00+00:00,28
2022-09-03 00:00:00+00:00,29
2022-11-14 00:00:00+00:00,30
2022-11-21 00:00:00+00:00,31
2023-01-10 00:00:00+00:00,32
2023-02-03 00:00:00+00:00,33
2023-02-15 00:00:00+00:00,34
2023-03-10 00:00:00+00:00,35
2023-03-13 00:00:00+00:00,36
2023-03-22 00:00:00+00:00,37
2023-05-07 00:00:00+00:00,38
2023-05-25 00:00:00+00:00,39
2023-08-21 00:00:00+00:00,40
2023-08-31 00:00:00+00:00,41
2023-10-07 00:00:00+00:00,42
2023-11-15 00:00:00+00:00,43
2024-01-26 00:00:00+00:00,44
2024-03-12 00:00:00+00:00,45
2024-05-08 00:00:00+00:00,46
2024-05-16 00:00:00+00:00,47
2024-05-22 00:00:00+00:00,48
2024-05-24 00:00:00+00:00,49
2024-07-08 00:00:00+00:00,50
2024-07-16 00:00:00+00:00,51
2024-08-21 00:00:00+00:00,52
2024-09-06 00:00:00+00:00,53
2024-09-07 00:00:00+00:00,54
2024-09-28 00:00:00+00:00,55
2024-10-04 00:00:00+00:00,56
2024-12-09 00:00:00+00:00,57
2024-12-24 00:00:00+00:00,58
2025-01-01 00:00:00+00:00,59
2025-01-23 00:00:00+00:00,60
2025-01-30 00:00:00+00:00,61
2025-02-05 00:00:00+00:00,62
2025-02-11 00:00:00+00:00,63
2025-02-18 00:00:00+00:00,64
2025-03-20 00:00:00+00:00,65
