time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-03 00:00:00+00:00,0,0,3,2
2025-01-04 00:00:00+00:00,0,0,1,1
2025-01-05 00:00:00+00:00,0,0,7,2
2025-01-06 00:00:00+00:00,2,1,36,9
2025-01-07 00:00:00+00:00,0,0,23,12
2025-01-08 00:00:00+00:00,0,0,50,10
2025-01-09 00:00:00+00:00,0,0,127,24
2025-01-10 00:00:00+00:00,0,0,63,16
2025-01-11 00:00:00+00:00,0,0,44,3
2025-01-12 00:00:00+00:00,0,0,9,5
2025-01-13 00:00:00+00:00,1,1,42,12
2025-01-14 00:00:00+00:00,0,0,41,12
2025-01-15 00:00:00+00:00,0,0,96,17
2025-01-16 00:00:00+00:00,2,1,104,30
2025-01-17 00:00:00+00:00,0,0,39,11
